index,level_0,level_1,name_low,name_high,street,score,name_a,name_b,street_a,street_b
45,2748,817,1,1,0,2,BURGER & LOBSTER FLATIRON LLC,BURGER & LOBSTER - FLATIRON,39 W 19TH ST,39 W 19th St
0,5750,441,1,0,1,2,THE PUBLIC GOOD PROJECTS,THE PHO,120 E 23rd St Fl 5,127 E 23rd St
42,331,2520,1,1,0,2,DYLAN'S CANDY BAR LLC,DYLANS CANDY CAFE,315 East 62nd Street 0.0,1011 3rd Ave
43,11627,2075,1,1,0,2,SKYLIGHT DINER INC,SKYLIGHT DINER,402 West 34th Street,402 W 34th St
41,11936,2813,1,1,0,2,SZECHUAN MOUNTAIN HOUSE NY LLC,SZECHUAN MOUNTAIN HOUSE - EAST VILLAGE,23 SAINT MARKS PL,23 Saint Marks Pl
40,11935,2813,1,1,0,2,SZECHUAN MOUNTAIN HOUSE INC,SZECHUAN MOUNTAIN HOUSE - EAST VILLAGE,23 SAINT MARKS PL,23 Saint Marks Pl
39,11367,1161,1,1,0,2,SAIGON MARKET LLC,SAIGON MARKET,91 UNIVERSITY PL,93 University Pl
47,8016,48,1,1,0,2,DICKSON'S FARMSTAND INC,DICKSON'S FARMSTAND MEATS - CHELSEA,75 ninth ave,75 9th Ave
53,3193,379,1,1,0,2,DOWNTOWN LLC,DOWNTOWN COFFEE,107 RIVINGTON ST,26 Jefferson St
48,8499,1564,1,1,0,2,"FONDA OF CHELSEA, LLC",FONDA - CHELSEA,189 9TH AVE,189 9th Ave
50,9951,2387,1,0,1,2,MALA MIDTOWN LLC,MALA PROJECT - MIDTOWN WEST,41 w 46th st,41 W 46th St
51,4297,766,1,0,1,2,MAGNOLIA ROCK CENTER LLC,MAGNOLIA BAKERY - ROCKEFELLER CENTER,1240 Avenue of the Americas,1240 Avenue of the Americas at 49th St
37,9288,3139,1,0,1,2,JAVELINA TEX-MEX LLC,JAVELINA - GRAMERCY,119 E. 18th St.,119 E 18th St
55,7748,2220,1,0,1,2,"CONGEE VILLAGE RESTAURANT & BAR,  INC.",CONGEE VILLAGE - LES,100 Allen Street,100 Allen St
58,12833,3159,1,1,0,2,"ZHEN WEI FANG, INC.",ZHEN WEI FANG  臻味坊,207 BOWERY,207 Bowery
59,2401,30,1,0,1,2,ANTINORE RESTAURANT INC,ANTICA RISTORANTE,8 Stone St,8 Stone St
60,7518,2539,1,1,0,2,CHAMP GOURMET INC.,CHAMPS GOURMET DELI,30 BROAD ST,30 Broad Street
62,5286,317,1,0,1,2,SERAFINA TRIBECA RESTAURANT LLC,SERAFINA - TRIBECA,95 Broadway,95 W Broadway
64,7337,1195,1,0,1,2,BURGER FULTON LLC,BURGER KING (106 FULTON ST),121 Fulton St,106 Fulton St
65,8498,517,1,0,1,2,FONDA AVE B LLC,FONDA -  EAST VILLAGE,40 Ave B,40 Ave. B
38,9524,2047,1,1,0,2,"KISSAKI OMAKASE, LLC",KISSAKI OMAKASE,319 BOWERY,319 Bowery
33,11392,864,1,1,0,2,"SAN PIETRO RESTAURANT, INC.",SAN PIETRO RESTAURANT,18 E 54TH ST,18 E 54th St
36,8911,1132,1,1,0,2,HASAKI,HASAKI,210 E 9TH ST,210 E 9th St
18,5131,341,1,1,0,2,ROCCO STEAKHOUSE INC.,ROCCO STEAKHOUSE - MADISON AVE,72 MADISON AVE,72 Madison Ave
2,1270,2163,1,0,1,2,GREENWICH RETAIL GROUP LLC,GREENWICH STREET TAVERN,349 Greenwich Street 0.0,399 Greenwich St
3,2391,1737,1,0,1,2,ANEJO TRIBECA LLC,AÑEJO - TRIBECA,301 Church Street,301 Church St
5,3658,1694,1,1,0,2,GRAN TIVOLI LLC,GRAN TIVOLI,406 BROOME ST,406 Broome St
6,3661,829,1,1,0,2,"GRANDAISY BAKERY, INC.",GRANDAISY BAKERY,250 W BROADWAY,250 W Broadway
7,3993,2849,1,0,1,2,"JING FONG RESTAURANT, INC.",JING FONG - CHINATOWN,20 Elizabeth Street,20 Elizabeth St
10,8602,991,1,1,0,2,FUNNY BBQ 98 INC,FUNNY BBQ 98,98 BOWERY,98 Bowery
11,9600,1584,1,1,0,2,"LA MELA RISTORANTE ITALIANO, INC.",LA MELA RISTORANTE,167 MULBERRY ST,167 Mulberry St
12,4819,2152,1,0,1,2,PARM UPPER WEST LLC,PARM - UPPER WEST SIDE,235 Columbus Ave 0.0,235 Columbus Ave
13,9905,1181,1,1,0,2,"MADISON & VINE, LLC",MADISON & VINE,845 United Nations Plaza,299 Madison Ave
15,2393,3081,1,1,0,2,ANGELO'S PIZZA 1697 INC,ANGELO'S PIZZA,1697 BROADWAY,1697 Broadway
16,5284,2394,1,1,0,2,SERAFINA BROADWAY LTD,SERAFINA BROADWAY,210 W 55TH ST,210 West 55th Street
17,5812,2645,1,1,0,2,TIMES SQUARE CHURCH INC,TIMES SQUARE DINER,ATTENTION: ANTOINETTE LENZA 1657 BROADWAY FL 4,807 8th Ave
19,12780,1646,1,0,1,2,YAKITORI AS IT IS INC,YAKITORI NONONO,118 Madison Avenue,118 Madison Ave
34,11873,763,1,1,0,2,SUKHUMVIT 51 INC,SUKHUMVIT 51,224 E 51ST ST,224 E 51st St
20,5285,2908,1,0,1,2,SERAFINA MEATPACKING LLC,SERAFINA - WEST VILLAGE,7 9th Ave,7 9th Ave
21,7148,788,1,1,0,2,BLEEKER STREET PIZZA CORP.,BLEECKER STREET PIZZA,69 Seventh Avenue South,69 7th Ave S
22,9933,2613,1,0,1,2,"MAGNOLIA BLEECKER STREET, LLC",MAGNOLIA BAKERY - BLEECKER ST,401 Bleecker Street,401 Bleecker St
23,3108,2990,1,0,1,2,DANTE GROVE ST LLC,DANTE,79-81 Macdougal St,79-81 Macdougal St
25,7336,605,1,1,0,2,BURGER & BARREL LLC,BURGER & BARREL - SOHO,25 W HOUSTON ST,25 W Houston St
26,8186,2090,1,0,1,2,EGG SHOP LES LLC,EGG SHOP - SOHO,151 Elizabeth St.,151 Elizabeth St
27,9606,2287,1,0,1,2,LADUREE USA INC,LADURÉE SOHO,396 West  Broadway,398 West Broadway
28,10761,1820,1,0,1,2,PARM MULBERRY LLC,PARM - MULBERRY ST,248 Mulberry Street 0.0,248 Mulberry St
29,10904,925,1,0,1,2,PMB SOHO LLC,PERA SOHO,54 Thompson Street,54 Thompson St
30,11671,2511,1,1,0,2,SOHO SUSHI INC,SOHO SUSHI,231 SULLIVAN ST,231 Sullivan St
31,1420,920,1,1,0,2,LE BILBOQUET NY LLC,LE BILBOQUET ,20 East 60th Street,20 E 60th St
32,9932,2133,1,0,1,2,MAGNOLIA B-1 LLC,MAGNOLIA BAKERY - BLOOMINGDALE'S,1000 3rd Avenue,1000 3rd Ave
66,9952,851,1,1,0,2,MALA PROJECT EAST VILLAGE LLC,MALA PROJECT - EAST VILLAGE,122 1ST AVE,122 1st Avenue
