index,level_0,level_1,name_low,name_high,street,score,name_a,name_b,street_a,street_b
162,3942,3205,1.0,1.0,1.0,3.0,IVAN RAMEN USA LLC,IVAN RAMEN - LES,25 Clinton Street,25 Clinton St
174,3409,2011,1.0,1.0,1.0,3.0,FELICE GOLD STREET LLC,FELICE 15 GOLD STREET,15 Gold Street,15 Gold St
159,1845,270,1.0,1.0,1.0,3.0,"SWEET CHICK LYFE, LLC",SWEET CHICK - LES,176 Ludrow St,178 Ludlow St
166,11924,270,1.0,1.0,1.0,3.0,SWEET CHICK LES LLC,SWEET CHICK - LES,178 Ludlow Street,178 Ludlow St
167,11925,270,1.0,1.0,1.0,3.0,"SWEET CHICK LYFE, LLC",SWEET CHICK - LES,176 Ludlow St,178 Ludlow St
108,7007,2821,1.0,1.0,1.0,3.0,BARN JOO UNION SQUARE INC.,BARN JOO - UNION SQUARE,35 Union Square West,35 Union Square W
19,7864,2689,1.0,1.0,1.0,3.0,CUPPING ROOM CAFE INC.,CUPPING ROOM CAFE - SOHO,359 West Broadway,359 W Broadway
17,6566,360,1.0,1.0,1.0,3.0,ADORO LEI LLC,ADORO LEI,287 Hudson Street,287 Hudson St
172,8702,2657,1.0,1.0,1.0,3.0,GIGGINO AT WAGNER PARK,GIGINO AT WAGNER PARK,20 Battery Place,20 Battery Pl
85,4134,2287,1.0,1.0,1.0,3.0,LADUREE SOHO LLC,LADURÉE SOHO,398 West Broadway,398 West Broadway
31,572,2843,1.0,1.0,1.0,3.0,NOBU 57 LLC,NOBU 57,40 W 57th Street,40 W 57th St
4,8710,1465,1.0,1.0,1.0,3.0,GIORGIO'S OF GRAMERCY INC.,GIORGIO'S OF GRAMERCY,27 E 21st St,27 E 21st St
141,9938,2977,1.0,1.0,1.0,3.0,MAHZEDAHR BAKERY LLC,MAH-ZE-DAHR BAKERY,28 Greenwich Ave,28 Greenwich Ave
10,3586,78,1.0,1.0,1.0,3.0,GIGINO TRATTORIA,GIGINO TRATTORIA,323 Greenwich Street,323 Greenwich St
123,3281,2496,1.0,0.0,1.0,2.0,ELEGANCE IN HARDWARE,EAT HERE NOW,860 Lexington Ave,839 Lexington Ave
117,11367,1161,1.0,1.0,0.0,2.0,SAIGON MARKET LLC,SAIGON MARKET,91 UNIVERSITY PL,93 University Pl
133,4556,134,1.0,1.0,0.0,2.0,MURRAY'S BAGELS CORP,MURRAY'S BAGELS - CHELSEA,500 Sixth Avenue,242 8th Ave
118,11387,850,1.0,0.0,1.0,2.0,SAME,SAUCE PIZZERIA,310 East 14th Street,345 East 12th Street
119,11935,2813,1.0,1.0,0.0,2.0,SZECHUAN MOUNTAIN HOUSE INC,SZECHUAN MOUNTAIN HOUSE - EAST VILLAGE,23 SAINT MARKS PL,23 Saint Marks Pl
120,11936,2813,1.0,1.0,0.0,2.0,SZECHUAN MOUNTAIN HOUSE NY LLC,SZECHUAN MOUNTAIN HOUSE - EAST VILLAGE,23 SAINT MARKS PL,23 Saint Marks Pl
121,331,2520,1.0,1.0,0.0,2.0,DYLAN'S CANDY BAR LLC,DYLANS CANDY CAFE,315 East 62nd Street 0.0,1011 3rd Ave
122,3281,2082,1.0,0.0,1.0,2.0,ELEGANCE IN HARDWARE,ITALIAN GOURMET SANDWICHES BY HARRY,860 Lexington Ave,858 Lexington Ave
127,11763,1388,1.0,0.0,1.0,2.0,"STAFFORD FRANCHISE HOLDINGS, LLC",HUDSON STATION BAR AND GRILL,800 6th Avenue,440 9th Avenue
132,3094,1278,1.0,0.0,1.0,2.0,DA UMBERTO RESTAURANT INC.,RED CORN TAQUERIA (NYC02-1),1074 W 17th St,41 W 17th St
131,2750,1906,1.0,0.0,1.0,2.0,BURNSGROUPNYC LLC-SBA SMALL 7A TERM,SOCARRAT PAELLA BAR - CHELSEA,220 West 19th Street,259 West 19th Street
124,2880,3068,1.0,0.0,1.0,2.0,CHELSEA DENTAL CARE P.C.,AJISEN RAMEN - CHESLEA,135 W 27th St,136 W 28th St
130,2748,817,1.0,1.0,0.0,2.0,BURGER & LOBSTER FLATIRON LLC,BURGER & LOBSTER - FLATIRON,39 W 19TH ST,39 W 19th St
116,9524,2047,1.0,1.0,0.0,2.0,"KISSAKI OMAKASE, LLC",KISSAKI OMAKASE,319 BOWERY,319 Bowery
126,11627,2075,1.0,1.0,0.0,2.0,SKYLIGHT DINER INC,SKYLIGHT DINER,402 West 34th Street,402 W 34th St
129,723,2705,1.0,1.0,0.0,2.0,"THE LOBSTER PLACE, INC.",THE LOBSTER PLACE,75 Ninth Avenue,448 W 16th St
128,11951,964,1.0,0.0,1.0,2.0,TADA! THEATRE AND DANCE ALLIANCE INC.,MARTHA STEWART AT YOUR DOOR DELICIOUSLY PREPARED MEALS (PARENT),15 W 28th St,636 W 28th St
125,10225,2467,1.0,0.0,1.0,2.0,"MITCHELL-INNES & NASH, INC.",MELT SHOP - CHELSEA,534 W 26th St,55 W 26th St
0,3127,857,1.0,0.0,1.0,2.0,DAVINES NORTH AMERICA INC,HIDDEN CITY CAFE CORP,50 W 23rd St,145 E 23rd St
115,9507,1787,1.0,0.0,1.0,2.0,KINDRED RESTAURANT LLC,CLOISTER RESTAURANT CAFE & GARDEN,342 E 6th St,238 E 9th St
114,9288,3139,1.0,0.0,1.0,2.0,JAVELINA TEX-MEX LLC,JAVELINA - GRAMERCY,119 E. 18th St.,119 E 18th St
97,1007,2710,1.0,0.0,1.0,2.0,CATHOLIC CHARITIES COMMUNITY SERVICES,ROSA MEXICANO - FIRST AVENUE,1011 First Avenue,1063 1st Avenue
98,1420,920,1.0,1.0,0.0,2.0,LE BILBOQUET NY LLC,LE BILBOQUET ,20 East 60th Street,20 E 60th St
99,4918,3023,1.0,0.0,1.0,2.0,PONDEROSA TX OPERATING LLC,PURE KTCHN - LEXINGTON,641 Lexington Ave FL 21,649 Lexington Ave
100,5443,221,1.0,0.0,1.0,2.0,SPR MOBILE PORTFOLIO HOLDING LLC,PROPER FOOD - MADISON,535 Madison Ave,555 Madison Avenue
101,9932,2133,1.0,0.0,1.0,2.0,MAGNOLIA B-1 LLC,MAGNOLIA BAKERY - BLOOMINGDALE'S,1000 3rd Avenue,1000 3rd Ave
102,11392,864,1.0,1.0,0.0,2.0,"SAN PIETRO RESTAURANT, INC.",SAN PIETRO RESTAURANT,18 E 54TH ST,18 E 54th St
103,11873,763,1.0,1.0,0.0,2.0,SUKHUMVIT 51 INC,SUKHUMVIT 51,224 E 51ST ST,224 E 51st St
104,12762,1015,1.0,0.0,1.0,2.0,WU & CHIEN INC.,HAWAIIAN POKE CO.,236 E 53rd St,330 E 53rd St
105,2846,1229,1.0,0.0,1.0,2.0,CELERI TREASURY LLC,WESTVILLE WALL STREET,110 Wall Street,110 Wall St
106,6896,2704,1.0,0.0,1.0,2.0,ASTOR PLACE HAIR STYLISTS INC,JUICE GENERATION - ASTOR PLACE,2 Astor Place,4 Astor Pl
107,7007,364,1.0,0.0,1.0,2.0,BARN JOO UNION SQUARE INC.,PANERA (10 UNION SQUARE EAST),35 Union Square West,10 Union Square East
109,7255,2118,1.0,0.0,1.0,2.0,"BRAVELY, INC.",BRAVO PIZZA,115 E 9th St,115 E 14th St
110,8339,566,1.0,0.0,1.0,2.0,EVIR CORP,VIVA PONCHO,117 2nd Ave,136 2nd Ave
111,8348,1325,1.0,0.0,1.0,2.0,EWC UNION SQUARE LLC,LENWICH - UNION SQUARE,82 University Place,120 University Pl
135,6038,2535,1.0,0.0,1.0,2.0,WASHINGTON SQUARE HOTEL,NORTH SQUARE RESTAURANT,103 Waverly Place,103 Waverly Place
112,8348,2155,1.0,0.0,1.0,2.0,EWC UNION SQUARE LLC,NUTELLA CAFE (UNION SQUARE),82 University Place,116 University Pl
113,8911,1132,1.0,1.0,0.0,2.0,HASAKI,HASAKI,210 E 9TH ST,210 E 9th St
134,5652,3183,1.0,0.0,1.0,2.0,THE CELLAR OF AMELIE LLC.,THE AINSWORTH - CHELSEA,22 west 8th street,122 West 26th Street
142,10232,48,1.0,0.0,1.0,2.0,MIZNON AT CHELSEA LLC-SBA SMALL 7A TERM,DICKSON'S FARMSTAND MEATS - CHELSEA,75 9th Avenue,75 9th Ave
136,7542,1283,1.0,0.0,1.0,2.0,CHEF DRIVEN MARKET LLC,EVA'S KITCHEN - GREENWICH VILLAGE,78 W 11th St,11 W 8th St
158,4297,766,1.0,0.0,1.0,2.0,MAGNOLIA ROCK CENTER LLC,MAGNOLIA BAKERY - ROCKEFELLER CENTER,1240 Avenue of the Americas,1240 Avenue of the Americas at 49th St
161,3942,603,1.0,0.0,1.0,2.0,IVAN RAMEN USA LLC,OMAR'S KITCHEN AND RUM BAR,25 Clinton Street,29 Clinton St
163,7564,2456,1.0,0.0,1.0,2.0,CHILLHOUSE 75 LLC,DELICIOUS DELI,102 Eldridge Street,219 Eldridge St
164,7748,2220,1.0,0.0,1.0,2.0,"CONGEE VILLAGE RESTAURANT & BAR,  INC.",CONGEE VILLAGE - LES,100 Allen Street,100 Allen St
165,11422,427,1.0,0.0,1.0,2.0,SC DELANCEY  LLC,MCDONALD'S® - LES (DELANCEY ST),150 DELANCEY ST,114 DELANCEY ST
168,12833,3159,1.0,1.0,0.0,2.0,"ZHEN WEI FANG, INC.",ZHEN WEI FANG  臻味坊,207 BOWERY,207 Bowery
169,2401,30,1.0,0.0,1.0,2.0,ANTINORE RESTAURANT INC,ANTICA RISTORANTE,8 Stone St,8 Stone St
170,2401,1875,1.0,0.0,1.0,2.0,ANTINORE RESTAURANT INC,REVOLUTION TACO & TEQUILA BAR,8 Stone St,53 Stone St
171,7518,2539,1.0,1.0,0.0,2.0,CHAMP GOURMET INC.,CHAMPS GOURMET DELI,30 BROAD ST,30 Broad Street
173,5286,317,1.0,0.0,1.0,2.0,SERAFINA TRIBECA RESTAURANT LLC,SERAFINA - TRIBECA,95 Broadway,95 W Broadway
175,7337,1195,1.0,0.0,1.0,2.0,BURGER FULTON LLC,BURGER KING (106 FULTON ST),121 Fulton St,106 Fulton St
176,10077,2324,1.0,0.0,1.0,2.0,MCCULLOUGH GINSBERG MONTANO AND PARTNERS LLP,JUICE GENERATION - GRAND CENTRAL,122 E 42nd St 3505,122 E 42nd St
177,3799,3013,1.0,0.0,1.0,2.0,HIP AT MURRAY STREET LLC,SHAKE SHACK  (215 MURRAY STREET),225 Murray Street,215 Murray Street
178,5297,2698,1.0,0.0,1.0,2.0,SEVEN A CAFE INC,CORNERSTONE CAFE NYC,109 Avenue A,17 Avenue B
179,7046,1111,1.0,0.0,1.0,2.0,BECAF LLC-SBA SMALL 7A TERM,B CUP CAFE - EAST VILLAGE,33 Avenue B,212 Avenue B
180,7046,1917,1.0,0.0,1.0,2.0,BECAF LLC-SBA SMALL 7A TERM,DESI GALLI - EAST VILLAGE,33 Avenue B,172 Avenue B
181,8489,2077,1.0,0.0,1.0,2.0,FLYCATCHER MANAGEMENT INC,EL CAMIÓN CANTINA,7 Avenue A,194 Avenue A
182,8498,517,1.0,0.0,1.0,2.0,FONDA AVE B LLC,FONDA -  EAST VILLAGE,40 Ave B,40 Ave. B
160,3193,379,1.0,1.0,0.0,2.0,DOWNTOWN LLC,DOWNTOWN COFFEE,107 RIVINGTON ST,26 Jefferson St
