index,level_0,level_1,name_low,name_high,street,score,name_a,name_b,street_a,street_b
1,3586,78,1.0,1.0,1.0,3.0,GIGINO TRATTORIA,GIGINO TRATTORIA,323 Greenwich Street,323 Greenwich St
4,8702,2657,1.0,1.0,1.0,3.0,GIGGINO AT WAGNER PARK,GIGINO AT WAGNER PARK,20 Battery Place,20 Battery Pl
0,8710,1465,1.0,0.0,1.0,2.0,GIORGIO'S OF GRAMERCY INC.,GIORGIO'S OF GRAMERCY,27 E 21st St,27 E 21st St
2,7864,2689,1.0,0.0,1.0,2.0,CUPPING ROOM CAFE INC.,CUPPING ROOM CAFE - SOHO,359 West Broadway,359 W Broadway
3,8911,1132,1.0,1.0,0.0,2.0,HASAKI,HASAKI,210 E 9TH ST,210 E 9th St
